lat,lon
26.3718955,-80.0997558
26.3718959,-80.0997058
26.3718963,-80.0996314
26.3718968,-80.09957
26.3718972,-80.0994986
26.371898,-80.0993809
26.3718984,-80.099328
26.3718989,-80.0992422
26.3718993,-80.0991894
26.3718998,-80.099115
26.3719001,-80.0990621
26.3719006,-80.0989863
26.371901,-80.0989335
26.3719014,-80.0988635
26.3719018,-80.0988106
26.3719022,-80.0987512
26.3719027,-80.0986676
26.3719031,-80.0986148
26.3719035,-80.0985462
26.3719039,-80.0984933
26.3719043,-80.098434
26.3719048,-80.0983575
26.3719051,-80.0983046
26.3719056,-80.0982288
26.371906,-80.098176
26.3719065,-80.0981059
26.3719068,-80.098053
26.3719073,-80.0979715
26.3719077,-80.0979187
26.3719092,-80.0976921
26.3719096,-80.0976292
26.3719104,-80.0975077
26.3746876,-80.1012374
26.3746883,-80.1011279
26.3746968,-80.1010219
26.3746798,-80.099905
26.374681,-80.0998
26.3746823,-80.0996863
26.3746834,-80.0995815
26.3787192,-80.099318
26.3787194,-80.0994463
26.3787194,-80.0995627
26.3787188,-80.0996961
26.3800981,-80.0998953
26.3800938,-80.0997904
26.3801041,-80.0993139
26.3801009,-80.0994063
26.3800999,-80.0995034
26.3672465,-80.1035972
26.3672465,-80.1037178
26.3672453,-80.1037889
26.3672453,-80.1038479
26.3674146,-80.1037768
26.3675479,-80.1037768
26.367662,-80.1037956
26.3679298,-80.1040503
26.3679298,-80.1041454
26.3679334,-80.1040047
26.3679995,-80.1041428
26.3681268,-80.1040288
26.3681292,-80.1040932
26.368128,-80.1041682
26.3683992,-80.1043909
26.3684004,-80.1044901
26.3684088,-80.1040209
26.3684064,-80.1041684
26.3684076,-80.1042608
26.3684652,-80.1040249
26.3684616,-80.1041617
26.3684688,-80.1043868
26.3684712,-80.1045021
26.3690167,-80.1041414
26.3691368,-80.1039055
26.369138,-80.1039658
26.3691392,-80.1040248
26.3691356,-80.1041401
26.3691296,-80.1042111
26.3691344,-80.1043117
26.3691368,-80.1043814
26.3691368,-80.1044524
26.3691368,-80.1045449
26.3692437,-80.1040194
26.3695823,-80.1040583
26.3718464,-80.0979699
26.3718438,-80.0993342
26.3718489,-80.0977254
26.3718502,-80.0982073
26.3718476,-80.0988852
26.3721856,-80.099761
26.372502,-80.1008293
26.37288,-80.100037
26.3658356,-80.1050662
26.3658365,-80.1051712
26.3658375,-80.1052819
26.3658382,-80.1053679
26.3658391,-80.105469
26.3658606,-80.1067249
26.3658648,-80.1068128
26.3658693,-80.1069062
26.365874,-80.107003
26.3658785,-80.1070973
26.3658829,-80.1071869
26.3672889,-80.105641
