lat,lon,type
26.3696036,-80.1007893,tree
26.3696059,-80.1008538,tree
26.3696384,-80.1006663,tree
26.3696388,-80.1007313,tree
26.3728328,-80.1050497,tree
26.3728309,-80.1050846,tree
26.3728277,-80.1051317,tree
26.3728302,-80.1051645,tree
26.3725981,-80.098694,tree
26.3726258,-80.0985984,tree
26.3726956,-80.0987418,tree
26.3727655,-80.0988374,tree
26.3728004,-80.0989304,tree
26.3728282,-80.0990045,tree
26.3728488,-80.0988498,tree
26.3728583,-80.0990844,tree
26.3728886,-80.0991651,tree
26.3729035,-80.099003,tree
26.372921,-80.0992512,tree
26.3729519,-80.0993333,tree
26.3729773,-80.0988215,tree
26.3729709,-80.0989658,tree
26.3729701,-80.0990606,tree
26.3729773,-80.0991721,tree
26.3730375,-80.0988465,tree
26.373039,-80.098938,tree
26.3730403,-80.0990156,tree
26.373042,-80.0991131,tree
26.3730439,-80.0992259,tree
26.3730453,-80.0993098,tree
26.3669149,-80.1059382,tree
26.3669799,-80.1059322,tree
26.3670381,-80.1052281,tree
26.3670368,-80.1056179,tree
26.3670693,-80.1050181,tree
26.3670476,-80.1054774,tree
26.3670679,-80.1057373,tree
26.3670665,-80.1057735,tree
26.3670665,-80.1058158,tree
26.3670733,-80.1054321,tree
26.3672141,-80.1029452,tree
26.3672168,-80.1032232,tree
26.3672154,-80.1033441,tree
26.3672671,-80.1054183,tree
26.3672681,-80.1055385,tree
26.3672987,-80.1053995,tree
26.3672948,-80.1054602,tree
26.3673126,-80.1071228,tree
26.3673481,-80.1053509,tree
26.3674015,-80.1053653,tree
26.367376,-80.1071249,tree
26.3674313,-80.1071267,tree
26.3674846,-80.1053896,tree
26.3674827,-80.1071284,tree
26.3675004,-80.1053542,tree
26.3675321,-80.10713,tree
26.3675484,-80.1033335,tree
26.3675746,-80.1065556,tree
26.3675805,-80.1071316,tree
26.3680479,-80.1030978,tree
26.3681143,-80.1030948,tree
26.3681562,-80.103326,tree
26.3683146,-80.1031024,tree
26.3683485,-80.1033456,tree
26.3683958,-80.1030993,tree
26.3684134,-80.1028546,tree
26.3684716,-80.1031069,tree
26.3684716,-80.1031839,tree
26.3685095,-80.1032142,tree
26.3685068,-80.1032716,tree
26.3685366,-80.1031779,tree
26.3685542,-80.1028425,tree
26.3685488,-80.1031084,tree
26.3686679,-80.102847,tree
26.3686679,-80.1031099,tree
26.3687816,-80.102844,tree
26.3687979,-80.1031039,tree
26.3689116,-80.102841,tree
26.3689156,-80.1031039,tree
26.3690293,-80.1028455,tree
26.3690388,-80.1031008,tree
26.369462,-80.0976542,tree
26.3696673,-80.0975368,tree
26.369653,-80.0977203,tree
26.369654,-80.0977705,tree
26.3696709,-80.1067886,tree
26.3696712,-80.1068704,tree
26.3696715,-80.1069313,tree
26.3696717,-80.106984,tree
26.369703,-80.0981227,tree
26.3696979,-80.0982743,tree
26.3696897,-80.0984179,tree
26.3697326,-80.0976474,tree
26.3697112,-80.097734,tree
26.3697122,-80.0979699,tree
26.3697306,-80.0980383,tree
26.3697244,-80.098199,tree
26.3697234,-80.0983529,tree
26.3697265,-80.098492,tree
26.3697367,-80.0978844,tree
26.3698865,-80.0979121,tree
26.3704797,-80.0979776,tree
26.370535,-80.0972987,tree
26.3705778,-80.0972987,tree
26.3710214,-80.0969085,tree
26.3710334,-80.1081645,tree
26.3710173,-80.1081865,tree
26.3710585,-80.1081445,tree
26.3710857,-80.097089,tree
26.3711273,-80.0967001,tree
26.3711332,-80.0968434,tree
26.3711986,-80.0969019,tree
26.3711963,-80.0970771,tree
26.3712474,-80.0971434,tree
26.3712652,-80.0967227,tree
26.3712736,-80.0968647,tree
26.3712801,-80.1085791,tree
26.3713152,-80.0967771,tree
26.3712926,-80.0970797,tree
26.3713711,-80.096878,tree
26.3713961,-80.0968381,tree
26.3713996,-80.097085,tree
26.371377,-80.1086942,tree
26.3714506,-80.1087233,tree
26.3714524,-80.1087883,tree
26.3715007,-80.0970824,tree
26.3715107,-80.1087203,tree
26.3715098,-80.1087603,tree
26.3715394,-80.1086952,tree
26.3715286,-80.1088054,tree
26.3716135,-80.0976988,tree
26.3716247,-80.0989486,tree
26.3716288,-80.0990808,tree
26.3720804,-80.0985021,tree
26.3720833,-80.098602,tree
26.3720942,-80.0990602,tree
26.3721411,-80.098501,tree
26.3721439,-80.0986004,tree
26.3722061,-80.0984998,tree
26.3722017,-80.0985988,tree
26.3722638,-80.0984988,tree
26.3722624,-80.0985972,tree
26.3729188,-80.1025949,tree
26.3729148,-80.1026373,tree
26.3729683,-80.1025756,tree
26.3729681,-80.1026352,tree
26.373031,-80.1025795,tree
26.3730287,-80.102627,tree
26.3730782,-80.102584,tree
26.3730782,-80.102627,tree
26.3732359,-80.1026457,tree
26.3732522,-80.1026084,tree
26.3736035,-80.1016047,tree
26.373603,-80.1017487,tree
26.3736329,-80.1013959,tree
26.3736404,-80.101457,tree
26.3736375,-80.1016112,tree
26.3736404,-80.1016819,tree
26.3736502,-80.1017435,tree
26.3736686,-80.1014807,tree
26.3736571,-80.1015315,tree
26.3736663,-80.1015707,tree
26.3736548,-80.1017827,tree
26.3736859,-80.101259,tree
26.373683,-80.1016844,tree
26.3737503,-80.1016484,tree
26.3737509,-80.1017326,tree
26.3744495,-80.1014472,tree
26.3744524,-80.1015278,tree
26.3744524,-80.1015922,tree
26.3744438,-80.1016793,tree
26.3721264,-80.0951345,tree
26.3737301,-80.1031377,tree
26.3737314,-80.1032568,tree
26.3698748,-80.1036685,tree
26.3698701,-80.1040136,tree
26.3707665,-80.1011381,tree
26.3708216,-80.1023253,tree
26.3708718,-80.101373,tree
26.3708947,-80.1013452,tree
26.3709512,-80.1013715,tree
26.3709952,-80.1013707,tree
26.3710315,-80.10137,tree
26.3710592,-80.1013416,tree
26.3710937,-80.1013688,tree
26.3711367,-80.1013399,tree
26.3711607,-80.1013676,tree
26.371227,-80.1014327,tree
26.3730909,-80.1057535,tree
26.3730927,-80.1057846,tree
26.3730944,-80.1058681,tree
26.3731127,-80.1059098,tree
26.3731518,-80.1057574,tree
26.3731283,-80.1057875,tree
26.3731327,-80.1058651,tree
26.373157,-80.1057991,tree
26.3731666,-80.1058651,tree
26.3731735,-80.1059078,tree
26.3731822,-80.1057817,tree
26.3735162,-80.1057137,tree
26.3735249,-80.1059224,tree
26.3735675,-80.1057137,tree
26.3735692,-80.1059263,tree
26.3736214,-80.1057128,tree
26.3736101,-80.1059263,tree
26.3741185,-80.106922,tree
26.3741924,-80.1068463,tree
26.3742533,-80.1067706,tree
26.3743211,-80.1066871,tree
26.3743733,-80.1066065,tree
26.3744342,-80.1065211,tree
26.3744829,-80.1064308,tree
26.3745194,-80.1063328,tree
26.3745542,-80.1062377,tree
26.3745846,-80.1061358,tree
26.3746055,-80.106029,tree
26.3746429,-80.105502,tree
26.3746403,-80.1056107,tree
26.374642,-80.1057126,tree
26.3746377,-80.1058252,tree
26.3746264,-80.1059252,tree
26.3742939,-80.1036586,tree
26.3743425,-80.1039088,tree
26.3743507,-80.1036618,tree
26.3743911,-80.1037194,tree
26.3744013,-80.1037767,tree
26.3743951,-80.1038502,tree
26.3744471,-80.1039494,tree
26.3744464,-80.1040481,tree
26.3744457,-80.1041435,tree
26.374445,-80.1042399,tree
26.3744443,-80.1043408,tree
26.3744436,-80.1044384,tree
26.3744428,-80.1045438,tree
26.3744421,-80.1046481,tree
26.3700049,-80.106588,tree
26.3694729,-80.0938255,tree
26.3695089,-80.0939891,tree
26.3689995,-80.0918675,tree
26.3690668,-80.092074,tree
26.3700833,-80.107022,tree
26.3701156,-80.1070217,tree
26.3701451,-80.1070215,tree
26.3701753,-80.1070212,tree
26.3702062,-80.1070209,tree
26.3702469,-80.1070206,tree
26.3703621,-80.1068845,tree
26.3703594,-80.1069564,tree
26.3703608,-80.1070329,tree
26.370363,-80.1071017,tree
26.6346657,-80.2718206,tree
26.635058,-80.2734569,tree
26.6344708,-80.2747451,tree
26.634838,-80.2739219,tree
26.6349996,-80.2739912,tree
26.6347549,-80.2742734,tree
26.6329925,-80.2748468,tree
26.6324252,-80.27336,tree
26.6323454,-80.2734629,tree
26.6343146,-80.2715103,tree
26.6347827,-80.2714642,tree
26.6343904,-80.2712908,tree
26.6342212,-80.2713209,tree
26.6338843,-80.2714837,tree
26.6332578,-80.2684689,tree
26.6332495,-80.2688109,tree
26.6332633,-80.2691467,tree
26.6330237,-80.2691529,tree
26.6330154,-80.268817,tree
26.6330071,-80.2684843,tree
26.6393112,-80.2494232,tree
26.6509372,-80.2295229,tree
26.6375293,-80.2808478,tree
26.6372676,-80.2807532,tree
26.6374929,-80.2811832,tree
26.6374995,-80.2814519,tree
26.6371516,-80.2811721,tree
26.6371367,-80.2813241,tree
26.6371102,-80.2810275,tree
26.6369479,-80.2815372,tree
26.6370324,-80.2810034,tree
26.6369992,-80.2807403,tree
26.6375542,-80.2821099,tree
26.6369446,-80.2822359,tree
26.6366165,-80.2822507,tree
26.6366513,-80.281982,tree
26.6370936,-80.2817262,tree
26.6371086,-80.2815817,tree
26.6369147,-80.2818356,tree
26.6367905,-80.2818152,tree
26.6366977,-80.2817929,tree
26.6365718,-80.2816632,tree
26.6366795,-80.2816169,tree
26.6366894,-80.2814853,tree
26.6367043,-80.2812796,tree
26.6367226,-80.2811591,tree
26.6365768,-80.2815372,tree
26.6365983,-80.2814278,tree
26.6366265,-80.2812036,tree
26.6366431,-80.2810868,tree
26.6367971,-80.2809756,tree
26.6368965,-80.2809793,tree
26.635939,-80.2821006,tree
26.6363018,-80.2819653,tree
26.6359489,-80.2819486,tree
26.6377924,-80.2808274,tree
26.6377724,-80.2807237,tree
26.6377542,-80.2802664,tree
26.637667,-80.2802664,tree
26.6375144,-80.280246,tree
26.6374944,-80.2804147,tree
26.6360786,-80.278254,tree
26.6360672,-80.2779346,tree
26.6288326,-80.2744903,tree
26.6286956,-80.2740517,tree
26.6285091,-80.2740304,tree
26.6286156,-80.2746606,tree
26.6282769,-80.2748224,tree
26.63112,-80.2788715,tree
26.6307471,-80.2807491,tree
26.6309412,-80.2812132,tree
26.6306747,-80.2814815,tree
26.6309564,-80.2814559,tree
26.6306595,-80.281209,tree
26.6307356,-80.2805363,tree
26.6309069,-80.2805405,tree
26.6321008,-80.279136,tree
26.6326532,-80.2791191,tree
26.6284748,-80.2745235,tree
26.6286556,-80.2743493,tree
26.6285501,-80.2743606,tree
26.6286355,-80.2744448,tree
26.626948,-80.2732987,tree
26.6271841,-80.2729336,tree
26.6272142,-80.2727257,tree
26.5803488,-80.2100171,tree
26.6167237,-80.1861323,tree
26.6214304,-80.1815765,tree
26.6374734,-80.2569458,tree
26.6374806,-80.2575883,tree
26.6375137,-80.2582703,tree
26.6371231,-80.2627106,tree
26.6371066,-80.2623254,tree
26.6371066,-80.2618818,tree
26.637214,-80.2614104,tree
26.6371919,-80.2610252,tree
26.6371974,-80.2606617,tree
26.6371892,-80.2604213,tree
26.634856,-80.2624668,tree
26.6362269,-80.261576,tree
26.6356734,-80.2613645,tree
26.635416,-80.2622078,tree
26.6359695,-80.2624192,tree
26.635186,-80.262312,tree
26.6355208,-80.2611616,tree
26.6340142,-80.2618706,tree
26.6343609,-80.2607112,tree
26.6338132,-80.2615577,tree
26.6338189,-80.2619303,tree
26.6339997,-80.2613363,tree
26.6341843,-80.2609659,tree
26.6342071,-80.2608893,tree
26.6313561,-80.2620176,tree
26.6332423,-80.2618664,tree
26.6334691,-80.261764,tree
26.6339361,-80.262143,tree
26.6335789,-80.2619817,tree
26.6328647,-80.2610008,tree
26.6328853,-80.2605705,tree
26.6327479,-80.2606755,tree
26.6325625,-80.2615642,tree
26.6326586,-80.2613337,tree
26.6229073,-80.2992447,tree
26.6229365,-80.2995997,tree
26.6225232,-80.2992447,tree
